StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,cheating_misinfo,headlines_task_1,headlines_task_2,headlines_task_3,headlines_task_4,headlines_task_5,headlines_task_6,headlines_task_7,headlines_task_8,headlines_task_9,headlines_task_10,headlines_task_DO_1,headlines_task_DO_2,headlines_task_DO_3,headlines_task_DO_4,headlines_task_DO_5,headlines_task_DO_6,headlines_task_DO_7,headlines_task_DO_8,headlines_task_DO_9,headlines_task_DO_10,news_trust_1,news_trust_2,news_trust_3,news_trust_4,news_trust_5,news_trust_6,news_trust_DO_1,news_trust_DO_2,news_trust_DO_3,news_trust_DO_4,news_trust_DO_5,news_trust_DO_6,trust_media_1,trust_media_2,trust_media_3,trust_media_4,trust_media_5,trust_media_DO_1,trust_media_DO_2,trust_media_DO_3,trust_media_DO_4,trust_media_DO_5,sm_usage_1,sm_usage_2,sm_usage_DO_1,sm_usage_DO_2,feeling_therm_1,feeling_therm_2,feeling_therm_4,feeling_therm_5,feeling_therm_6,feeling_therm_DO_1,feeling_therm_DO_2,feeling_therm_DO_4,feeling_therm_DO_5,feeling_therm_DO_6,conspiracies_1,conspiracies_2,conspiracies_3,conspiracies_4,conspiracies_DO_1,conspiracies_DO_2,conspiracies_DO_3,conspiracies_DO_4,Misinfo_literacy_1,Misinfo_literacy_2,Misinfo_literacy_3,Misinfo_literacy_4,Misinfo_literacy_5,Misinfo_literacy_6,Misinfo_literacy_DO_1,Misinfo_literacy_DO_2,Misinfo_literacy_DO_3,Misinfo_literacy_DO_4,Misinfo_literacy_DO_5,Misinfo_literacy_DO_6,sm_cynicism_1,sm_cynicism_2,sm_cynicism_3,sm_cynicism_DO_1,sm_cynicism_DO_2,sm_cynicism_DO_3,Pol_cyn_1,ext_media_1,ext_media_1_DO_1,ext_media_1_DO_2,ext_media_1_DO_4,ext_media_1_DO_5,ext_media_2,ext_media_2_DO_1,ext_media_2_DO_2,ext_media_3,att_check,fc_trust,fc_share,fake_news_problem,sm_news_trust_1,sm_news_trust_2,sm_news_trust_3,sm_news_trust_4,sm_news_trust_DO_1,sm_news_trust_DO_2,sm_news_trust_DO_3,sm_news_trust_DO_4,efficacy_1,efficacy_2,efficacy_3,efficacy_DO_1,efficacy_DO_2,efficacy_DO_3,fc_ability_general_1,fc_ability_specific_1,Party_id,Party_id_DO_1,Party_id_DO_2,Party_id_DO_3,Party_id_DO_4,pol_knowledge_1,pol_knowledge_2,info_lookup,fc_experience,fc_bias_1,fc_bias_2,fc_bias_3,fc_bias_4,fc_keep,upload_compliance_t_Id,upload_compliance_t_Name,upload_compliance_t_Size,upload_compliance_t_Type,feedback_open_end_t,upload_compliance_c_Id,upload_compliance_c_Name,upload_compliance_c_Size,upload_compliance_c_Type,feedback_open_end_c,exp,hash,id
2023-06-22T18:49:59Z,2023-06-22T20:51:47Z,IP Address,74.64.108.114,100,7308,TRUE,2023-06-22T20:51:48Z,R_eDUK6HWxbYcWgiR,NA,NA,NA,NA,40.7123,-74.0068,anonymous,EN,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,3,1,5,8,7,10,2,6,4,A lot,A lot,A lot,A lot,A lot,A lot,5,2,6,3,4,1,I do not know this source,I do not know this source,I do not know this source,I do not know this source,I do not know this source,4,3,2,5,1,NA,NA,2,1,46,54,66,56,47,1,2,5,4,3,Strongly agree,Strongly agree,Strongly agree,Strongly agree,2,4,3,1,Very likely,Very likely,Very likely,Very likely,Very likely,Very likely,3,2,1,5,4,6,Strongly Agree,Strongly Agree,Strongly Agree,2,1,3,Quite a few,Not too much,3,1,4,2,Deal fairly with all sides,1,2,All the time,President Joe Biden,None,None,A very big problem,52,50,50,50,1,3,2,4,Strongly agree,Strongly agree,Strongly agree,2,3,1,94,80,Independent,2,3,1,4,Two years,Once,Yes,I disliked it a lot,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Extremely likely,NA,NA,NA,NA,test 2,NA,NA,NA,NA,NA,treatment,NA,NA
2023-06-22T21:11:45Z,2023-06-22T21:16:30Z,IP Address,96.250.105.244,100,284,TRUE,2023-06-22T21:16:30Z,R_30eINH93NlVj5ji,NA,NA,NA,NA,40.7263,-73.9818,anonymous,EN,Yes,Very accurate,Very accurate,Very accurate,Very accurate,Very accurate,Very accurate,Very accurate,Very accurate,Very accurate,Very accurate,10,9,3,1,7,8,6,2,4,5,NA,NA,NA,NA,NA,NA,6,2,3,1,4,5,NA,NA,NA,NA,NA,1,4,2,5,3,NA,NA,1,2,51,50,50,50,50,1,4,2,3,5,Somewhat disagree,Strongly disagree,Strongly agree,Neither agree nor disagree,2,1,4,3,NA,NA,NA,NA,NA,NA,6,4,2,3,1,5,NA,NA,NA,2,1,3,NA,NA,4,3,2,1,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,4,1,NA,NA,NA,3,2,1,NA,50,NA,1,2,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,control,NA,NA
2023-06-23T14:06:45Z,2023-06-23T14:12:36Z,IP Address,174.176.113.102,100,350,TRUE,2023-06-23T14:12:38Z,R_2ckem1HV21aiqiZ,NA,NA,13a043e41ca1b6594dc341578e53af57,NA,25.7793,-80.2088,anonymous,EN,Yes,Not very accurate,Not very accurate,Not very accurate,Not very accurate,Not at all accurate,Not very accurate,Not very accurate,Not very accurate,Very accurate,Somewhat accurate,4,9,8,2,5,6,1,10,7,3,Not too much,Some,Not too much,Not too much,Not too much,Some,1,2,5,3,6,4,Some,Not too much,I do not know this source,Not too much,I do not know this source,1,3,5,2,4,1 to 2 days a week,About once a day,2,1,79,23,36,91,9,3,2,5,4,1,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,3,1,4,2,5,6,4,5,4,5,1,3,6,5,4,2,Somewhat Agree,Neutral,Somewhat Disagree,3,1,2,Not very many,Some,4,1,3,2,Tend to favor one side,2,1,About half of the time,President Obama,Little,A moderate amount,A moderately big problem,28,72,13,24,1,2,3,4,Somewhat agree,Somewhat agree,Somewhat agree,1,3,2,91,78,Republican,2,1,3,4,Six years,Twice,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,F_214eDD7nNEPUNuR,Screenshot_20230623_101202_Chrome.jpg,539285,image/jpeg,NA,control,13a043e41ca1b6594dc341578e53af57,1
2023-06-23T14:08:22Z,2023-06-23T14:13:15Z,IP Address,216.196.160.201,100,293,TRUE,2023-06-23T14:13:17Z,R_33xS442OpRr5aOO,NA,NA,6a9462845151b796840880c287a1345a,NA,39.1256,-84.5127,anonymous,EN,Yes,Somewhat accurate,Somewhat accurate,Somewhat accurate,Not very accurate,Not very accurate,Not very accurate,Somewhat accurate,Not very accurate,Somewhat accurate,Not at all accurate,8,7,5,6,3,10,4,9,1,2,Some,Not too much,Some,A lot,A lot,A lot,6,5,1,3,2,4,Not at all,A lot,Some,I do not know this source,I do not know this source,3,5,4,2,1,At least 10 times a day,At least 10 times a day,1,2,0,100,72,0,100,5,1,2,4,3,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,4,2,3,1,4,3,4,4,4,4,3,5,2,4,1,6,Neutral,Somewhat Disagree,Somewhat Agree,2,1,3,Not very many,Not at all,2,4,1,3,Tend to favor one side,2,1,Most of the time,President Obama,Little,Little,A moderately big problem,8,4,1,98,3,4,2,1,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,3,2,1,64,71,Democrat,1,2,3,4,Four years,Twice,No,I didn't have the Fact-Checking Timeline in my Twitter feed,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither likely nor unlikely,F_zUoGFRvbQcIury9,Screenshot_20230623_101249_Twitter.jpg,671000,image/jpeg,NA,NA,NA,NA,NA,NA,treatment,6a9462845151b796840880c287a1345a,1
2023-06-23T14:06:13Z,2023-06-23T14:16:39Z,IP Address,69.116.114.102,100,626,TRUE,2023-06-23T14:16:41Z,R_2wpC18WsYoSbfMC,NA,NA,ffde82da12d99a13d3187aecc3410428,NA,40.5175,-74.3991,anonymous,EN,Yes,Somewhat accurate,NA,NA,NA,NA,NA,Somewhat accurate,NA,NA,Not very accurate,8,10,2,4,6,7,9,3,5,1,Some,Some,Some,Some,Some,Some,4,3,6,5,2,1,Not too much,Some,A lot,A lot,A lot,5,4,2,1,3,Several times a day,Several times a day,2,1,10,49,31,12,11,2,5,4,1,3,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,3,1,2,4,5,5,5,5,5,5,2,6,5,4,3,1,Agree,Agree,Agree,3,2,1,Quite a few,Not too much,2,3,1,4,Tend to favor one side,1,2,Once in a while,President Obama,A moderate amount,Little,A very big problem,40,29,28,30,1,3,2,4,Somewhat disagree,Somewhat disagree,Somewhat disagree,1,2,3,63,65,Democrat,1,3,2,4,Two years,Twice,No,I liked it a lot,Strongly agree,Strongly disagree,Strongly agree,Neither agree nor disagree,5,F_3lVMrjlJSrgcbSL,IMG_0233.png,1153818,image/png,NA,NA,NA,NA,NA,NA,treatment,ffde82da12d99a13d3187aecc3410428,1
2023-06-23T14:12:14Z,2023-06-23T14:18:34Z,IP Address,216.23.244.20,100,380,TRUE,2023-06-23T14:18:36Z,R_RK3ytmSXijGtms9,NA,NA,a07b254516cd4d248efb8b99d30e2ba4,NA,40.8771,-85.5045,anonymous,EN,Yes,NA,Not at all accurate,NA,Not at all accurate,Not at all accurate,Very accurate,NA,Not very accurate,Very accurate,NA,6,10,8,2,4,7,5,1,3,9,Not too much,A lot,A lot,Not at all,Some,A lot,6,3,5,1,2,4,Not too much,A lot,Not at all,Not at all,Not at all,1,5,4,2,3,About once a day,About once a day,1,2,0,55,28,0,6,4,5,1,3,2,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,3,1,4,2,6,Very likely,Very likely,5,Very likely,5,6,4,5,3,2,1,Somewhat Disagree,Agree,Disagree,3,2,1,Quite a few,Some,1,2,4,3,Tend to favor one side,1,2,Once in a while,President Obama,A lot,A moderate amount,A moderately big problem,22,27,67,84,4,1,2,3,Strongly agree,Somewhat agree,Neither agree nor disagree,3,2,1,75,43,Democrat,1,2,3,4,Two years,Twice,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,F_2dAPW0TqgLjk0Uk,Screenshot_20230623-101806.png,501831,image/png,NA,control,a07b254516cd4d248efb8b99d30e2ba4,1
2023-06-23T14:09:44Z,2023-06-23T14:18:43Z,IP Address,68.51.74.196,100,539,TRUE,2023-06-23T14:18:47Z,R_1gT30eU98rhNE18,NA,NA,a0324046862cbe5b998c38a1ce57f4d2,NA,40.3228,-86.8881,anonymous,EN,Yes,Somewhat accurate,Not at all accurate,Not at all accurate,Somewhat accurate,Not very accurate,Somewhat accurate,Very accurate,Very accurate,Somewhat accurate,Not very accurate,6,3,1,9,7,5,8,4,10,2,Some,Not too much,Some,A lot,Some,Not too much,4,1,2,3,5,6,Some,Not at all,Some,Not too much,Not too much,5,4,1,2,3,At least 10 times a day,Several times a day,1,2,60,20,31,80,20,4,5,1,2,3,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,2,1,4,3,Very likely,4,5,5,3,6,6,3,5,2,1,4,Strongly Agree,Agree,Somewhat Agree,2,3,1,Not very many,Not too much,2,3,1,4,Tend to favor one side,1,2,Most of the time,President Obama,A moderate amount,Little,A moderately big problem,30,50,25,65,4,3,2,1,Somewhat agree,Somewhat agree,Somewhat agree,1,3,2,80,85,Republican,1,3,2,4,Four years,Twice,No,I liked it a little,Strongly disagree,Strongly disagree,Somewhat agree,Neither agree nor disagree,5,F_1TXqybaiud2Ed6p,IMG_3768.png,3974236,image/png,NA,NA,NA,NA,NA,NA,treatment,a0324046862cbe5b998c38a1ce57f4d2,1
2023-06-23T14:09:36Z,2023-06-23T14:20:41Z,IP Address,24.208.227.78,100,665,TRUE,2023-06-23T14:20:44Z,R_1OrS9mSY8fdGuyO,NA,NA,0e217f4784a1d7c62fb1898e5b75bf97,NA,39.8722,-82.0935,anonymous,EN,Yes,Somewhat accurate,Very accurate,Very accurate,Not at all accurate,Very accurate,Not very accurate,Somewhat accurate,Very accurate,Very accurate,Not very accurate,7,9,3,6,1,4,2,10,8,5,Not too much,Not too much,Not too much,Not too much,Some,Not too much,3,6,2,4,1,5,Some,Not at all,Not too much,Not too much,I do not know this source,1,2,3,5,4,At least 10 times a day,At least 10 times a day,2,1,50,0,20,50,0,2,5,3,4,1,Strongly agree,Strongly agree,Strongly agree,Strongly agree,2,3,1,4,Very likely,Very likely,Not at all likely,Very likely,Very likely,Very likely,3,5,2,1,6,4,Strongly Agree,Strongly Agree,Strongly Agree,2,3,1,Quite a few,Not too much,2,4,1,3,Tend to favor one side,2,1,About half of the time,President Obama,Little,None,A small problem,50,50,50,50,4,3,2,1,Somewhat agree,Somewhat agree,Somewhat agree,1,2,3,100,100,Republican,2,3,1,4,Six years,Twice,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,F_3h0JUx602xga1Ms,Screen%20Shot%202023-06-23%20at%2010.20.26%20AM.png,1245768,image/png,NA,control,0e217f4784a1d7c62fb1898e5b75bf97,1
2023-06-23T14:11:54Z,2023-06-23T14:20:57Z,IP Address,96.38.125.92,100,543,TRUE,2023-06-23T14:21:00Z,R_2bHnPQxprlNpqMP,NA,NA,1e59f41f5e4fd0ce2413511718a5f387,NA,35.958,-83.9172,anonymous,EN,Yes,Not very accurate,Not at all accurate,Not at all accurate,Not at all accurate,Not at all accurate,Not very accurate,Very accurate,Very accurate,Not very accurate,Not at all accurate,6,10,8,4,3,5,2,1,7,9,Some,Some,Some,Not too much,Some,Some,5,2,6,1,3,4,Not at all,A lot,A lot,A lot,Not too much,4,1,5,2,3,Several times a day,3 to 6 days a week,2,1,0,100,90,0,100,4,1,2,5,3,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,3,1,2,4,6,Very likely,6,Very likely,6,4,1,4,2,5,3,6,Agree,Agree,Neutral,3,1,2,Not very many,Some,2,1,4,3,Tend to favor one side,1,2,Once in a while,President Obama,A lot,None,A small problem,82,88,0,88,2,3,1,4,Somewhat agree,Neither agree nor disagree,Somewhat agree,1,3,2,64,53,Democrat,1,3,2,4,Six years,Twice,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,F_3sjBvT7B5P8nJho,Screenshot_20230623_101934_Chrome.jpg,515925,image/jpeg,NA,control,1e59f41f5e4fd0ce2413511718a5f387,1
2023-06-23T14:10:48Z,2023-06-23T14:22:00Z,IP Address,71.13.221.209,100,672,TRUE,2023-06-23T14:22:03Z,R_2XigHcv5OwJyFJP,NA,NA,b29f34fca4b287e30aaf9a85b094b436,NA,42.5106,-89.0351,anonymous,EN,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,9,3,1,10,8,7,6,2,Not too much,Some,Not too much,Some,Some,Not too much,5,2,3,6,1,4,Not too much,Not too much,Some,Not too much,Some,5,1,3,2,4,Several times a day,3 to 6 days a week,1,2,22,41,19,2,41,3,5,2,1,4,Strongly agree,Strongly agree,Strongly agree,Strongly agree,1,3,4,2,5,5,4,6,5,4,6,4,3,5,2,1,Somewhat Agree,Somewhat Agree,Somewhat Agree,1,2,3,Quite a few,Not too much,3,2,1,4,Tend to favor one side,2,1,Once in a while,President Obama,A moderate amount,Little,A moderately big problem,51,35,32,38,1,4,2,3,Strongly agree,Strongly agree,Strongly agree,3,1,2,91,12,Independent,3,1,2,4,Six years,Twice,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,F_1ILxa5Welgt9ilu,1D2ED53F-E82F-4DFC-8E1F-9BABA5F47524.png,1463891,image/png,NA,control,b29f34fca4b287e30aaf9a85b094b436,1
